Hwy. 5 Milan, Missouri 63556
Bible Methodist Church Tarrant , Alabama 35217
2241 US 64/74A Hwy Rutherfordton, North Carolina 28139
po box 732 Pie Town, New Mexico 87827
P.O. Box 689 Craigsville, West Virginia 26205
234 Van Ness Newburgh, New York 12550
8008 Liberty Highway Liberty, South Carolina 29625
500 Peachiod Dr. Gaffney, South Carolina 29432
gnxgcn fgs, Alabama 31641
 110 McKee Rd. Bakersfield, California 93307
Retired Parker, Colorado 80134
17 Heaton Street Rochester, New Hampshire 03867
3901 Cole Mill Road Durham, North Carolina 27712
871 Parris Island Gateway beaufort, South Carolina 29902
1872 Camp Road Charleston, South Carolina 29412
5181 Platt Springs Rd. Lexington, South Carolina 29073
P O Box 44907 Los Angeles, California 90044
Fanning Bridge Rd Fletcher, North Carolina 28832
357 Fairport Road East Rochester, New York 14445
2757 Morris Avenue Bronx, New York 10458
Hwy 50 E. washington, Indiana 47501
New Liberty Church Road Kevil, Kentucky 42053
Highway 12 W. McAdams, Mississippi 39107
231 HWY 70 Smyrna Smyrna, North Carolina 28579
P.O. Box 86 Bristol, South Dakota 57219
409 W. John J. Sharpe St. Sharpsburg, North Carolina 27878
424B Camp Rd Burlington, North Carolina 27217
266 Jakckson Ave. Syosset, New York 11791
1984 Bradshaw Rd Clinton, North Carolina 28328
105 Meetinghouse Road Hinsdale, New Hampshire 3451
520 Gahagan Rd Summerville, South Carolina 29485
1409 NC Hwy 16 N Conover, North Carolina 28613
MFM Obanikoro Zonal Headquarters, Lagos Nigeria
36206 Sayre Road Carthage, New York 13619
P. O. Box 658 Brenham, Texas 77834
Fanning Bridge Rd Fletcher, North Carolina 28732
95 Broad Run Church Road Jane Lew, West Virginia 26378
2245 Carolina Beach Rd. Wilmington, North Carolina 28401
Not sure F, Florida 33801
8831 Cypress Forest Drive Charlotte, North Carolina 28216
121 S. Cloverleaf Street High Point, North Carolina 27260
3522 Smith Creek Road Franklin, West Virginia 26807
41 Christian Circle Newberry, South Carolina 29108
712 Southern Charm Dr Wilmington, North Carolina 28412
p.o. box 765 des allemands, Louisiana 70030
W362  S2704  Lisa Lane Dousman, Wisconsin 53118
The Miracle Center, 14 N Washington St Ypsilanti, Michigan 48198
2003 Lynn Ave Anderson, South Carolina 29621
211, 2nd and Walnut Cedar , Iowa 50613
W. 3rd &amp; McWethy Leadville, Colorado 80461
Hwy 78 Bremen, Georgia 30110
Murray Versailles, Kentucky 40383
p.o. box 3070 Carmel, Indiana 46082
P.O. Box 214 Fenwick, West Virginia 26202
Main St Paw PAw, West Virginia 25434
rt 5 box 347 coushatta, Louisiana 71019
9216 Baileywick Rd Raleigh, North Carolina 27615
49th Street ,Shabah Sharjah, New York n/a
2045 S. Halifax Rd. Rocky Mount, North Carolina 27804
802 Lindley Dr. Durham, North Carolina 27703
15303 U.S. Highway 158 East Summerfield, North Carolina 27358
P O Box 498061 Garland, Texas 75049
81 Washington Ave. Suffern, New York 10901
St. Rt. 73 Otway, Ohio 45657
601 5th St NE Devils Lake, North Dakota 58301
5 Montgomery Street Bloomfield, New Jersey 07003
CR 292 Rising Star, Texas 76437
S3111 Ableman Rd. Reedsburg, Wisconsin 53959
po box 7779 algonquin, Illinois 60102
RR 1 Box 69 Little York, Illinois 61453
Union Hill Rd Alpharetta, Georgia 30004
54-02 217 Street Bayside, New York 11364
Main st Wolfboro, New Hampshire 03894
167 Good Shepherd Way Dobson, North Carolina 27017
104 Downey Lake Rd Dallas, North Carolina 28034
2728 HURDLE MILLS RD. ROXBORO, North Carolina 27574
PO box 35 Harvey, Arkansas 72841
POB 577 Alto, Texas 75925
PO BOX 2456 Gulfport, Mississippi 39505
hwy 294 grapeland, Texas 75844
po box 864809 tuscaloosa, Alabama 35486
1701 N Coleman Hobbs, New Mexico 88240
P.O. Box 1254 Morgantown, West Virginia 26507
2633 Dakota St Albuquerque, New Mexico 87181
3rd St Roxie, Mississippi 39661
614 South Ron McNair Blvd. Lake City, South Carolina 29560
10050 Wolcott Hill  Camden, New York 13316
2105 Curry Rd Schenectady, New York 12303
Po 54 Ennis, Texas 75119
P. O. Box 294 Noxapater, Mississippi 39346
Po Box 6732 Bellevue, Washington 98008
POBox 164 Wausa, Nebraska 68786
